Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
COCA COLA;AQUARIUS MANZANA 1.5 CM3;325,33;400;23;2250;15,27;7790895640483;64897;11/05/2023
COCA COLA;AQUARIUS NARANJA 1.5 CM3;325,33;400;23;2250;15,27;7790895641237;65378;11/05/2023
PALACIO;BOTELLITAS LICORITAS FELFORT;71,56;100;40;0;0;7790206007301;943;11/05/2023
Cofico;CERVEZA SCC CRYSTAL IPA LATA 473cc;1;130;12900;6,72;12;3216;94;11/05/2023
ARCOR;CONFITES ROCKLETS 40G;155;200;29;0;0;7790580327415;259;11/05/2023
Promos;SERNOVA CLAS + 4 RED BULL 250cc;2321,4;2792;0;0;0;3126;0;11/05/2023
Promos;0;681;817;0;0;0;3072;0;11/05/2023
Promos;0;1570,2;1866;0;0;0;3274;0;11/05/2023
Promos;0;2152,48;2626;0;0;0;4556;0;11/05/2023
ANALGESICOS;0BLUNT WRAP STRAWBERRY;275;400;45;1848;12;644536226017;997;11/05/2023
BARRICA BEBIDAS;2 NOVECENTO + 2 SPEED XL;2404,32;2900;0;0;0;3434;0;11/05/2023
Promos;2 RENA + 2 SPEED GRANDES;1624,98;1950;0;0;0;2317;0;11/05/2023
LAYS;3D 122G;26,92;35;30;0;0;7790310005804;997;11/05/2023
BRINDAR OTROS;3D MEGA QUESO 105 GR;74,17;100;35;498;12;7790310982389;45;11/05/2023
BARRICA BEBIDAS;3D MEGA QUESO 150 GR;150,51;190;26;1011;12;7790310983492;96;11/05/2023
BRINDAR OTROS;3D MEGA QUESO 48 GR;46,1;60;30;310;12;7790310005415;957;11/05/2023
LAYS;3D MEGATUBE QUESO 25G;23,07;30;30;0;0;7790310981580;922;11/05/2023
LAYS;3D MEGATUBE QUESO 29 GR;15,83;20;26;0;0;7790310005408;988;11/05/2023
LAYS;3D MEGATUBE QUESO 56 GR.;23,76;30;26;0;0;7790310981597;81;11/05/2023
LAYS;3D MEGATUBE QUESO X66G;23,76;30;26;0;0;7790310006764;45;11/05/2023
BRINDAR OTROS;3D QUESO 43 GR;246,15;320;30;1654;12;7790310985113;981;11/05/2023
BRINDAR OTROS;3D QUESO 47 GR.;138,46;180;30;953;14,77;7790310984253;9963;11/05/2023
BRINDAR OTROS;3D QUESO 92 GR.;461,15;600;30;3099;12;7790310985120;943;11/05/2023
PEPSI;7 UP RETORNABLE 2 L.;324,45;390;20;3000;15,58;7791813777007;589;11/05/2023
PEPSI;7 UP SEVEN 2.25LT;455,26;550;21;4200;15,32;7791813777052;65139;11/05/2023
PEPSI;7 UP SIN AZUCAR 2,25 L.;455,26;550;21;3150;15,32;7791813900115;977;11/05/2023
PEPSI;7UP LIMONADA 2.25;121;150;24;1113;15;7791813423034;980;11/05/2023
BARRICA BEBIDAS;ABSENTA TOUR TURNE;480;575;19;0;0;7798167920172;0;11/05/2023
SAN JUAN;ABSOLUT CLASICO;4540;5900;30;5300;16,74;7312040017010;4696;11/05/2023
IL DOCTORE;ABSOLUT CLASICO 500 ML;1365;1700;25;9000;9,89;7312040017072;97;11/05/2023
OSOLA;ABSOLUT ED. LIMITADA;1370;1700;24;1580;15,33;7312040552030;94;11/05/2023
